route_id,scheduled_time,actual_time,weather,passenger_count,latitude,longitude,valid_gps,delay_minutes,hour,day_of_week,is_weekend,time_of_day,weather_severity,route_frequency
R3,2025-01-01 00:00:00,2025-01-01 01:22:00,sunny,250.0,24.417358065000002,32.529663575,False,82.0,0,2,0,night,1,137
R4,2025-01-01 01:00:00,2025-01-01 02:24:00,sunny,250.0,24.64387847,32.63629561,True,84.0,1,2,0,night,1,48
R3,2025-01-01 02:00:00,2025-01-01 03:45:00,sunny,250.0,24.363132,31.18681932,True,105.0,2,2,0,night,1,137
R4,2025-01-01 03:00:00,2025-01-01 05:29:00,cloudy,36.0,25.53307125,32.53750795,True,149.0,3,2,0,night,2,48
R4,2025-01-01 04:00:00,2025-01-01 04:56:00,cloudy,76.0,23.29424774,33.41921085,True,56.0,4,2,0,night,2,48
R2,2025-01-01 05:00:00,2025-01-01 05:43:00,sunny,107.0,24.46472341,32.37771963,True,43.0,5,2,0,night,1,46
R3,2025-01-01 06:00:00,2025-01-01 08:43:00,cloudy,61.0,23.45014599,31.15586973,True,163.0,6,2,0,morning,2,137
R3,2025-01-01 07:00:00,2025-01-01 08:15:00,cloudy,250.0,23.97402778,33.3588346,True,75.0,7,2,0,morning,2,137
R3,2025-01-01 08:00:00,2025-01-01 10:24:00,sunny,76.0,25.21207123,31.60409135,True,144.0,8,2,0,morning,1,137
R4,2025-01-01 09:00:00,2025-01-01 09:06:00,unknown,76.0,24.42805439,31.7758625,True,6.0,9,2,0,morning,2,48
R3,2025-01-01 10:00:00,2025-01-01 12:45:00,cloudy,91.0,24.12766486,31.49411906,True,165.0,10,2,0,morning,2,137
R3,2025-01-01 11:00:00,2025-01-01 11:15:00,sunny,47.0,24.18342884,31.99064519,True,15.0,11,2,0,morning,1,137
R4,2025-01-01 12:00:00,2025-01-01 14:21:00,cloudy,44.0,24.37834031,33.27025452,True,141.0,12,2,0,afternoon,2,48
R2,2025-01-01 13:00:00,2025-01-01 13:00:00,cloudy,107.0,25.35504963,32.55815758,True,0.0,13,2,0,afternoon,2,46
R3,2025-01-01 14:00:00,2025-01-01 14:00:00,cloudy,250.0,25.67625407,31.61464382,True,0.0,14,2,0,afternoon,2,137
R2,2025-01-01 15:00:00,2025-01-01 15:09:00,cloudy,250.0,25.86600406,33.63349023,True,9.0,15,2,0,afternoon,2,46
R3,2025-01-01 16:00:00,2025-01-01 16:00:00,unknown,250.0,25.36071016,33.63874556,True,0.0,16,2,0,afternoon,2,137
R4,2025-01-01 17:00:00,2025-01-01 19:11:00,rainy,76.0,23.94622069,33.61173528,True,131.0,17,2,0,afternoon,3,48
R1,2025-01-01 18:00:00,2025-01-01 19:21:00,sunny,250.0,25.06440412,31.71638863,True,81.0,18,2,0,evening,1,69
R3,2025-01-01 19:00:00,2025-01-01 19:00:00,sunny,250.0,24.31280937,32.35371803,True,0.0,19,2,0,evening,1,137
R2,2025-01-01 20:00:00,2025-01-01 21:15:00,sunny,107.0,23.76401187,33.95496897,True,75.0,20,2,0,evening,1,46
R4,2025-01-01 21:00:00,2025-01-01 21:52:00,cloudy,250.0,25.52261474,33.31603743,True,52.0,21,2,0,evening,2,48
R3,2025-01-01 22:00:00,2025-01-01 22:47:00,sunny,104.0,23.11527905,31.08150226,True,47.0,22,2,0,night,1,137
R1,2025-01-01 23:00:00,2025-01-01 23:00:00,sunny,97.0,25.70528598,31.19561377,True,0.0,23,2,0,night,1,69
R1,2025-01-02 00:00:00,2025-01-02 00:00:00,cloudy,117.0,24.38443239,32.39179413,True,0.0,0,3,0,night,2,69
R3,2025-01-02 01:00:00,2025-01-02 01:43:00,cloudy,73.0,24.91160443,33.72766062,True,43.0,1,3,0,night,2,137
R3,2025-01-02 02:00:00,2025-01-02 01:57:00,rainy,250.0,24.97806177,32.61610539,True,-3.0,2,3,0,night,3,137
R2,2025-01-02 03:00:00,2025-01-02 04:37:00,rainy,250.0,25.68535322,32.49343752,True,97.0,3,3,0,night,3,46
R3,2025-01-02 04:00:00,2025-01-02 03:55:00,rainy,250.0,24.91000905,31.3164211,True,-5.0,4,3,0,night,3,137
R3,2025-01-02 05:00:00,2025-01-02 06:23:00,cloudy,63.0,24.84180075,32.97034031,True,83.0,5,3,0,night,2,137
R3,2025-01-02 06:00:00,2025-01-02 08:37:00,rainy,250.0,23.19995612,33.46630948,True,157.0,6,3,0,morning,3,137
R3,2025-01-02 07:00:00,2025-01-02 08:35:00,cloudy,250.0,24.55522407,32.14126002,True,95.0,7,3,0,morning,2,137
R3,2025-01-02 08:00:00,2025-01-02 08:00:00,sunny,250.0,23.450507,33.32683555,True,0.0,8,3,0,morning,1,137
R1,2025-01-02 09:00:00,2025-01-02 09:08:00,cloudy,117.0,25.21230131,33.89342996,True,8.0,9,3,0,morning,2,69
R3,2025-01-02 10:00:00,2025-01-02 10:00:00,cloudy,250.0,24.53666576,31.61129938,True,0.0,10,3,0,morning,2,137
R4,2025-01-02 11:00:00,2025-01-02 11:00:00,sunny,76.0,25.04068334,32.56998889,True,0.0,11,3,0,morning,1,48
R3,2025-01-02 12:00:00,2025-01-02 12:12:00,cloudy,250.0,23.1250187,31.86141387,True,12.0,12,3,0,afternoon,2,137
R4,2025-01-02 13:00:00,2025-01-02 14:58:00,rainy,76.0,23.25437605,33.37856326,True,118.0,13,3,0,afternoon,3,48
R1,2025-01-02 14:00:00,2025-01-02 14:23:00,sunny,250.0,25.14897016,32.7327801,True,23.0,14,3,0,afternoon,1,69
R2,2025-01-02 15:00:00,2025-01-02 15:00:00,sunny,107.0,23.21625301,32.90374725,True,0.0,15,3,0,afternoon,1,46
R3,2025-01-02 16:00:00,2025-01-02 17:46:00,rainy,97.0,23.21377018,33.39374248,True,106.0,16,3,0,afternoon,3,137
R1,2025-01-02 17:00:00,2025-01-02 17:58:00,sunny,98.0,23.03632543,32.18791142,True,58.0,17,3,0,afternoon,1,69
R3,2025-01-02 18:00:00,2025-01-02 19:05:00,sunny,250.0,25.86950419,33.74527021,True,65.0,18,3,0,evening,1,137
R2,2025-01-02 19:00:00,2025-01-02 20:15:00,sunny,250.0,25.21252508,32.5990866,True,75.0,19,3,0,evening,1,46
R2,2025-01-02 20:00:00,2025-01-02 20:58:00,rainy,250.0,24.05975423,31.47386447,True,58.0,20,3,0,evening,3,46
R1,2025-01-02 21:00:00,2025-01-02 21:00:00,rainy,66.0,23.88960674,33.08769735,True,0.0,21,3,0,evening,3,69
R2,2025-01-02 22:00:00,2025-01-02 00:13:00,sunny,55.0,24.04910969,33.37978405,True,-1307.0,22,3,0,night,1,46
R4,2025-01-02 23:00:00,2025-01-02 14:00:00,sunny,79.0,25.32396059,31.95028503,True,-540.0,23,3,0,night,1,48
R2,2025-01-03 00:00:00,2025-01-03 01:30:00,cloudy,107.0,24.98411183,33.57153777,True,90.0,0,4,0,night,2,46
R3,2025-01-03 01:00:00,2025-01-03 01:00:00,cloudy,250.0,23.5555867,33.71842976,True,0.0,1,4,0,night,2,137
R3,2025-01-03 02:00:00,2025-01-03 03:29:00,rainy,250.0,24.417358065000002,32.529663575,False,89.0,2,4,0,night,3,137
R3,2025-01-03 03:00:00,2025-01-03 05:07:00,rainy,34.0,23.29518695,33.95056442,True,127.0,3,4,0,night,3,137
R3,2025-01-03 04:00:00,2025-01-03 05:25:00,rainy,250.0,24.98090816,31.42213458,True,85.0,4,4,0,night,3,137
R4,2025-01-03 05:00:00,2025-01-03 04:53:00,cloudy,76.0,25.29311799,31.60604701,True,-7.0,5,4,0,night,2,48
R3,2025-01-03 06:00:00,2025-01-03 07:57:00,unknown,45.0,23.79513928,31.55267452,True,117.0,6,4,0,morning,2,137
R1,2025-01-03 07:00:00,2025-01-03 09:09:00,sunny,117.0,23.06283488,33.68196913,True,129.0,7,4,0,morning,1,69
R3,2025-01-03 08:00:00,2025-01-03 08:22:00,rainy,250.0,23.246515,32.96287766,True,22.0,8,4,0,morning,3,137
R2,2025-01-03 09:00:00,2025-01-03 11:40:00,sunny,63.0,25.9035801,31.45631285,True,160.0,9,4,0,morning,1,46
R3,2025-01-03 10:00:00,2025-01-03 10:54:00,rainy,250.0,23.88633433,32.32097026,True,54.0,10,4,0,morning,3,137
R2,2025-01-03 11:00:00,2025-01-03 11:32:00,cloudy,250.0,25.30766944,32.84589408,True,32.0,11,4,0,morning,2,46
R2,2025-01-03 12:00:00,2025-01-03 12:00:00,cloudy,107.0,24.87399071,31.25039225,True,0.0,12,4,0,afternoon,2,46
R3,2025-01-03 13:00:00,2025-01-03 14:59:00,sunny,250.0,24.14581892,33.64724911,True,119.0,13,4,0,afternoon,1,137
R4,2025-01-03 14:00:00,2025-01-03 14:00:00,cloudy,116.0,23.61706179,33.41081061,True,0.0,14,4,0,afternoon,2,48
R2,2025-01-03 15:00:00,2025-01-03 16:10:00,cloudy,107.0,23.36415925,32.51562032,True,70.0,15,4,0,afternoon,2,46
R2,2025-01-03 16:00:00,2025-01-03 18:23:00,sunny,80.0,24.8450389,33.90137985,True,143.0,16,4,0,afternoon,1,46
R3,2025-01-03 17:00:00,2025-01-03 17:00:00,sunny,250.0,25.32390134,32.25328294,True,0.0,17,4,0,afternoon,1,137
R2,2025-01-03 18:00:00,2025-01-03 19:34:00,sunny,107.0,24.93171276,33.95233096,True,94.0,18,4,0,evening,1,46
R2,2025-01-03 19:00:00,2025-01-03 20:43:00,sunny,107.0,24.5909064,33.00376,True,103.0,19,4,0,evening,1,46
R3,2025-01-03 20:00:00,2025-01-03 21:49:00,unknown,250.0,23.12585367,32.90401382,True,109.0,20,4,0,evening,2,137
R3,2025-01-03 21:00:00,2025-01-03 23:33:00,cloudy,250.0,25.90546633,31.49786469,True,153.0,21,4,0,evening,2,137
R1,2025-01-03 22:00:00,2025-01-03 21:00:00,sunny,40.0,25.39614257,33.64578327,True,-60.0,22,4,0,night,1,69
R4,2025-01-03 23:00:00,2025-01-03 23:25:00,unknown,76.0,23.87846611,32.28246906,True,25.0,23,4,0,night,2,48
R4,2025-01-04 00:00:00,2025-01-04 01:25:00,cloudy,85.0,25.93991099,31.48670022,True,85.0,0,5,1,night,2,48
R2,2025-01-04 01:00:00,2025-01-04 01:26:00,unknown,250.0,24.80564477,31.03782256,True,26.0,1,5,1,night,2,46
R4,2025-01-04 02:00:00,2025-01-04 02:12:00,cloudy,1.0,24.74726797,32.67926705,True,12.0,2,5,1,night,2,48
R2,2025-01-04 03:00:00,2025-01-04 03:19:00,cloudy,107.0,25.24421954,32.58219887,True,19.0,3,5,1,night,2,46
R1,2025-01-04 04:00:00,2025-01-04 05:13:00,rainy,32.0,25.43530936,33.15806087,True,73.0,4,5,1,night,3,69
R3,2025-01-04 05:00:00,2025-01-04 07:56:00,sunny,250.0,24.96943582,33.67077416,True,176.0,5,5,1,night,1,137
R3,2025-01-04 06:00:00,2025-01-04 08:09:00,cloudy,250.0,23.38428724,31.23821975,True,129.0,6,5,1,morning,2,137
R3,2025-01-04 07:00:00,2025-01-04 08:05:00,rainy,250.0,24.01480252,33.19448947,True,65.0,7,5,1,morning,3,137
R4,2025-01-04 08:00:00,2025-01-04 09:57:00,cloudy,250.0,25.78425092,31.56223583,True,117.0,8,5,1,morning,2,48
R1,2025-01-04 09:00:00,2025-01-04 11:13:00,sunny,117.0,23.67384684,33.57453116,True,133.0,9,5,1,morning,1,69
R4,2025-01-04 10:00:00,2025-01-04 10:00:00,rainy,5.0,24.11650107,33.45719054,True,0.0,10,5,1,morning,3,48
R4,2025-01-04 11:00:00,2025-01-04 13:49:00,rainy,76.0,24.29623065,32.62238126,True,169.0,11,5,1,morning,3,48
R1,2025-01-04 12:00:00,2025-01-04 12:42:00,unknown,250.0,24.31821497,33.1307284,True,42.0,12,5,1,afternoon,2,69
R1,2025-01-04 13:00:00,2025-01-04 13:28:00,cloudy,250.0,24.83881875,31.94305034,True,28.0,13,5,1,afternoon,2,69
R1,2025-01-04 14:00:00,2025-01-04 16:55:00,sunny,117.0,25.82922751,32.4135037,True,175.0,14,5,1,afternoon,1,69
R1,2025-01-04 15:00:00,2025-01-04 16:51:00,sunny,250.0,23.72207814,33.46491069,True,111.0,15,5,1,afternoon,1,69
R3,2025-01-04 16:00:00,2025-01-04 17:04:00,rainy,250.0,23.36450413,32.37779559,True,64.0,16,5,1,afternoon,3,137
R3,2025-01-04 17:00:00,2025-01-04 16:58:00,unknown,250.0,23.59241147,32.0733948,True,-2.0,17,5,1,afternoon,2,137
R3,2025-01-04 18:00:00,2025-01-04 20:14:00,cloudy,250.0,25.6607747,32.48263734,True,134.0,18,5,1,evening,2,137
R1,2025-01-04 19:00:00,2025-01-04 21:43:00,cloudy,11.0,24.93743244,33.48474776,True,163.0,19,5,1,evening,2,69
R3,2025-01-04 20:00:00,2025-01-04 22:06:00,rainy,250.0,23.85772037,32.00562414,True,126.0,20,5,1,evening,3,137
R3,2025-01-04 21:00:00,2025-01-04 20:54:00,cloudy,109.0,25.44784082,31.52128478,True,-6.0,21,5,1,evening,2,137
R1,2025-01-04 22:00:00,2025-01-04 22:00:00,rainy,118.0,25.58410999,33.13604206,True,0.0,22,5,1,night,3,69
R3,2025-01-04 23:00:00,2025-01-04 00:38:00,unknown,250.0,25.53954302,33.47793464,True,-1342.0,23,5,1,night,2,137
R4,2025-01-05 00:00:00,2025-01-05 02:14:00,cloudy,76.0,25.7567796,31.30191244,True,134.0,0,6,1,night,2,48
R2,2025-01-05 01:00:00,2025-01-05 01:34:00,cloudy,36.0,23.75672306,31.71962234,True,34.0,1,6,1,night,2,46
R2,2025-01-05 02:00:00,2025-01-05 02:08:00,sunny,250.0,25.26512579,31.42591597,True,8.0,2,6,1,night,1,46
R1,2025-01-05 03:00:00,2025-01-05 05:36:00,unknown,60.0,24.38161849,32.04382423,True,156.0,3,6,1,night,2,69
R3,2025-01-05 04:00:00,2025-01-05 04:08:00,rainy,78.0,24.417358065000002,32.529663575,False,8.0,4,6,1,night,3,137
R1,2025-01-05 05:00:00,2025-01-05 07:42:00,cloudy,250.0,25.18547203,33.24647901,True,162.0,5,6,1,night,2,69
R3,2025-01-05 06:00:00,2025-01-05 07:55:00,sunny,57.0,25.32934234,32.95344275,True,115.0,6,6,1,morning,1,137
R2,2025-01-05 07:00:00,2025-01-05 07:50:00,rainy,250.0,24.96848551,32.8627857,True,50.0,7,6,1,morning,3,46
R1,2025-01-05 08:00:00,2025-01-05 07:50:00,sunny,250.0,23.53228631,32.05712484,True,-10.0,8,6,1,morning,1,69
R4,2025-01-05 09:00:00,2025-01-05 11:59:00,cloudy,95.0,24.63508076,33.52434266,True,179.0,9,6,1,morning,2,48
R3,2025-01-05 10:00:00,2025-01-05 11:42:00,sunny,250.0,25.95400922,32.4138615,True,102.0,10,6,1,morning,1,137
R3,2025-01-05 11:00:00,2025-01-05 13:35:00,sunny,250.0,25.8121642,33.93731481,True,155.0,11,6,1,morning,1,137
R3,2025-01-05 12:00:00,2025-01-05 12:33:00,rainy,250.0,23.12952121,32.90242641,True,33.0,12,6,1,afternoon,3,137
R3,2025-01-05 13:00:00,2025-01-05 13:50:00,rainy,250.0,23.49444445,31.37879422,True,50.0,13,6,1,afternoon,3,137
R1,2025-01-05 14:00:00,2025-01-05 15:47:00,sunny,117.0,23.39518632,33.02853269,True,107.0,14,6,1,afternoon,1,69
R3,2025-01-05 15:00:00,2025-01-05 17:33:00,rainy,39.0,25.17793973,31.97531205,True,153.0,15,6,1,afternoon,3,137
R4,2025-01-05 16:00:00,2025-01-05 18:54:00,cloudy,250.0,25.45335599,33.05898159,True,174.0,16,6,1,afternoon,2,48
R3,2025-01-05 17:00:00,2025-01-05 17:38:00,rainy,250.0,23.6405341,31.20892344,True,38.0,17,6,1,afternoon,3,137
R1,2025-01-05 18:00:00,2025-01-05 17:50:00,sunny,250.0,24.51755808,31.52464431,True,-10.0,18,6,1,evening,1,69
R4,2025-01-05 19:00:00,2025-01-05 18:52:00,cloudy,118.0,25.52210908,33.56721178,True,-8.0,19,6,1,evening,2,48
R2,2025-01-05 20:00:00,2025-01-05 20:00:00,cloudy,108.0,25.19840463,31.68153867,True,0.0,20,6,1,evening,2,46
R3,2025-01-05 21:00:00,2025-01-05 21:05:00,sunny,59.0,24.62671162,33.51112338,True,5.0,21,6,1,evening,1,137
R1,2025-01-05 22:00:00,2025-01-05 00:25:00,cloudy,117.0,24.77104307,31.83782827,True,-1295.0,22,6,1,night,2,69
R2,2025-01-05 23:00:00,2025-01-05 00:21:00,sunny,107.0,24.52508164,32.92864573,True,-1359.0,23,6,1,night,1,46
R2,2025-01-06 00:00:00,2025-01-06 00:49:00,cloudy,88.0,23.89264535,33.08245172,True,49.0,0,0,0,night,2,46
R3,2025-01-06 01:00:00,2025-01-06 02:30:00,cloudy,34.0,24.69506598,32.53796426,True,90.0,1,0,0,night,2,137
R4,2025-01-06 02:00:00,2025-01-06 04:24:00,cloudy,76.0,25.06665591,31.91593203,True,144.0,2,0,0,night,2,48
R3,2025-01-06 03:00:00,2025-01-06 03:00:00,cloudy,75.0,25.61996875,31.63793313,True,0.0,3,0,0,night,2,137
R1,2025-01-06 04:00:00,2025-01-06 06:26:00,rainy,117.0,24.90887406,31.09956806,True,146.0,4,0,0,night,3,69
R3,2025-01-06 05:00:00,2025-01-06 07:03:00,cloudy,250.0,25.28336461,31.9118392,True,123.0,5,0,0,night,2,137
R4,2025-01-06 06:00:00,2025-01-06 06:36:00,sunny,250.0,23.4802149,32.95948837,True,36.0,6,0,0,morning,1,48
R3,2025-01-06 07:00:00,2025-01-06 07:45:00,rainy,104.0,24.38467242,33.81491446,True,45.0,7,0,0,morning,3,137
R4,2025-01-06 08:00:00,2025-01-06 09:38:00,rainy,76.0,23.02799486,33.61361345,True,98.0,8,0,0,morning,3,48
R4,2025-01-06 09:00:00,2025-01-06 09:00:00,sunny,250.0,23.74003659,33.29819433,True,0.0,9,0,0,morning,1,48
R3,2025-01-06 10:00:00,2025-01-06 10:54:00,sunny,106.0,25.17938515,33.36534203,True,54.0,10,0,0,morning,1,137
R4,2025-01-06 11:00:00,2025-01-06 13:46:00,rainy,75.0,25.97542985,32.99495471,True,166.0,11,0,0,morning,3,48
R3,2025-01-06 12:00:00,2025-01-06 12:52:00,sunny,250.0,23.2975343,31.78086057,True,52.0,12,0,0,afternoon,1,137
R4,2025-01-06 13:00:00,2025-01-06 13:16:00,sunny,76.0,24.20448295,33.72158509,True,16.0,13,0,0,afternoon,1,48
R3,2025-01-06 14:00:00,2025-01-06 15:27:00,unknown,250.0,25.40021291,33.01219694,True,87.0,14,0,0,afternoon,2,137
R3,2025-01-06 15:00:00,2025-01-06 16:58:00,sunny,250.0,23.6121069,32.68132189,True,118.0,15,0,0,afternoon,1,137
R3,2025-01-06 16:00:00,2025-01-06 16:00:00,rainy,250.0,24.66525485,31.33296841,True,0.0,16,0,0,afternoon,3,137
R2,2025-01-06 17:00:00,2025-01-06 18:24:00,unknown,107.0,25.19921389,32.34116663,True,84.0,17,0,0,afternoon,2,46
R2,2025-01-06 18:00:00,2025-01-06 20:50:00,unknown,69.0,24.84795635,32.38107481,True,170.0,18,0,0,evening,2,46
R4,2025-01-06 19:00:00,2025-01-06 21:34:00,cloudy,68.0,23.5640742,33.59369083,True,154.0,19,0,0,evening,2,48
R1,2025-01-06 20:00:00,2025-01-06 22:14:00,sunny,250.0,24.06615371,32.63994466,True,134.0,20,0,0,evening,1,69
R4,2025-01-06 21:00:00,2025-01-06 22:39:00,sunny,76.0,25.35137535,32.14120165,True,99.0,21,0,0,evening,1,48
R3,2025-01-06 22:00:00,2025-01-06 21:53:00,unknown,250.0,24.66267954,33.93040099,True,-7.0,22,0,0,night,2,137
R3,2025-01-06 23:00:00,2025-01-06 23:21:00,cloudy,49.0,23.01568884,31.33216178,True,21.0,23,0,0,night,2,137
R3,2025-01-07 00:00:00,2025-01-07 01:01:00,unknown,250.0,25.28297228,32.26764528,True,61.0,0,1,0,night,2,137
R3,2025-01-07 01:00:00,2025-01-07 03:31:00,cloudy,250.0,23.10593406,31.12607403,True,151.0,1,1,0,night,2,137
R3,2025-01-07 02:00:00,2025-01-07 03:52:00,sunny,250.0,25.23720135,33.21971236,True,112.0,2,1,0,night,1,137
R3,2025-01-07 03:00:00,2025-01-07 03:43:00,sunny,250.0,23.60744168,33.75422966,True,43.0,3,1,0,night,1,137
R2,2025-01-07 04:00:00,2025-01-07 04:00:00,sunny,118.0,25.87422044,31.84011199,True,0.0,4,1,0,night,1,46
